Ride Name,Tier,Weight,Reasoning
Space Mountain,Tier 1,3x,"Signature E-ticket coaster, high capacity, consistently high wait times"
Big Thunder Mountain Railroad,Tier 1,3x,"Major roller coaster, high capacity, park icon"
Tiana's Bayou Adventure,Tier 1,3x,"Major flume ride, signature attraction, high capacity (formerly Splash Mountain)"
Seven Dwarfs Mine Train,Tier 1,3x,Major coaster with extremely high demand despite moderate capacity
Pirates of the Caribbean,Tier 1,3x,"High-capacity signature dark ride, park classic"
Haunted Mansion,Tier 1,3x,"High-capacity signature dark ride, park icon"
Jungle Cruise,Tier 1,3x,"High-capacity signature attraction, major draw"
Peter Pan's Flight,Tier 1,3x,Extremely high demand classic dark ride despite lower capacity
Buzz Lightyear's Space Ranger Spin,Tier 2,2x,"Standard interactive dark ride, moderate capacity"
The Many Adventures of Winnie the Pooh,Tier 2,2x,"Standard dark ride, moderate capacity"
Under the Sea - Journey of the Little Mermaid,Tier 2,2x,Standard dark ride with moderate capacity
it's a small world,Tier 2,2x,"Classic boat ride, high capacity but not signature level demand"
Tomorrowland Speedway,Tier 2,2x,"Standard attraction, moderate capacity"
Astro Orbiter,Tier 2,2x,"Standard spinner ride, lower capacity but significant presence"
The Barnstormer,Tier 2,2x,Small coaster but still a coaster experience
Liberty Square Riverboat,Tier 2,2x,Standard water transport attraction
Tomorrowland Transit Authority PeopleMover,Tier 2,2x,"Standard transportation attraction, high capacity"
Monsters Inc. Laugh Floor,Tier 2,2x,Theater show with moderate capacity
The Magic Carpets of Aladdin,Tier 2,2x,Standard spinner attraction
Dumbo the Flying Elephant,Tier 3,1x,Classic kiddie spinner ride
Mad Tea Party,Tier 3,1x,Teacups - standard flat ride
Prince Charming Regal Carrousel,Tier 3,1x,Classic carousel
Swiss Family Treehouse,Tier 3,1x,"Walk-through attraction, low capacity"
Walt Disney's Enchanted Tiki Room,Tier 3,1x,Show with limited draw compared to major attractions
Country Bear Jamboree,Tier 3,1x,Show with moderate capacity but lower demand
Casey Jr. Splash 'N' Soak Station,Tier 3,1x,Playground/splash area
Main Street Vehicles,Tier 3,1x,"Transportation novelty, very low capacity"
Tom Sawyer Island,Tier 3,1x,Walk-through playground area
